main,,,
Case Name,Application,Task,Data
argon-bubble,Physics,Workflow; Volume Representation; Color Mapping,Scalar Fields
chameleon_isosurface,Biology,Workflow; Value-Based Selection; Color Mapping; View / Rendering Manipulation,Scalar Fields
foot,Medical Science,Workflow; Scientific Insights; Volume Representation; Color Mapping,Scalar Fields
miranda,Physics,Workflow; Volume Representation; Color Mapping,Scalar Fields
supernova,Astronomy,Workflow; Value-Based Selection; Color Mapping,Scalar Fields
vortex,Physics,Workflow; Value-Based Selection; View / Rendering Manipulation,Scalar Fields
bonsai,Biology,Workflow; Volume Representation; Color Mapping,Scalar Fields
chameleon_volvis,Biology,Workflow; Volume Representation; Color Mapping; View / Rendering Manipulation,Scalar Fields
richtmyer,Physics,Workflow; Volume Representation; Color Mapping,Scalar Fields
tangaroa,Physics,Workflow; Time-Dependent Processing; Geometric Primitives,Vector Fields
carp,Biology,Workflow; Scientific Insights; Volume Representation; Color Mapping; View / Rendering Manipulation,Scalar Fields
engine,Others,Workflow; Volume Representation; Color Mapping,Scalar Fields
lobster,Biology,Workflow; Scientific Insights; Value-Based Selection; Color Mapping,Scalar Fields
rotstrat,Physics,Workflow; Volume Representation; Color Mapping,Scalar Fields
solar-plume,Astronomy,Workflow; Time-Dependent Processing; Geometric Primitives; Glyph-Based Representation,Vector Fields
tornado,Physics,Workflow; Time-Dependent Processing; Glyph-Based Representation; Geometric Primitives,Vector Fields
,,,
chatvis_bench,,,
Case Name,Application,Task,Data
chart-opacity,Mathematics,Workflow; Plot Drawing; Scalar Operations,Scalar Fields
export-gltf,Others,Workflow; Structural Operations; Color Mapping,Scalar Fields
ml-dvr,Others,Workflow; Volume Representation; Color Mapping,Scalar Fields
shrink-sphere,Mathematics,Workflow; Geometric Modification; Topological Changes,Scalar Fields
write-ply,Others,Workflow; Structural Operations,Scalar Fields
climate,Earth System Science,Workflow; Field Derivatives; Glyph-Based Representation; Geometric Primitives; Color Mapping,Vector Fields
import-gltf,Others,Workflow; Structural Operations; View / Rendering Manipulation,Scalar Fields
ml-iso,Others,Workflow; Value-Based Selection,Scalar Fields
render-histogram,Mathematics,Workflow; Plot Drawing; Scalar Operations,Scalar Fields
stream-glyph,Physics,Workflow; Time-Dependent Processing; Glyph-Based Representation; Geometric Primitives; Color Mapping,Vector Fields
color-blocks,Others,Workflow; Color Mapping; Structural Operations,Multi-variate
line-plot,Physics,Workflow; Plot Drawing; Sampling,Multi-variate
ml-slice-iso,Others,Workflow; Spatial/temporal Extraction; Geometric Primitives,Scalar Fields
reset-camera-direction,Mathematics,Workflow; View / Rendering Manipulation,Scalar Fields
subseries-of-time-series,Physics,Workflow; Spatial/temporal Extraction; Structural Operations; Time-Dependent Processing,Scalar Fields; Time-varying
color-data,Mathematics,Workflow; Scalar Operations; Color Mapping,Scalar Fields
materials,Physics,Workflow; Spatial/temporal Extraction; Value-Based Selection; Color Mapping,Scalar Fields
points-surf-clip,Mathematics,Workflow; Topological Changes; Spatial/temporal Extraction,Scalar Fields
save-transparent,Others,Workflow; View / Rendering Manipulation,Scalar Fields
time-varying,Physics,Workflow; Time-Dependent Processing; Color Mapping; Scalar Operations,Scalar Fields; Time-varying
,,,
sci_volume_data,,,
Case Name,Application,Task,Data
aneurism,Medical Science,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
christmas_tree,Others,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
hydrogen_atom,Physics,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
neghip,Chemistry,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
silicium,Physics,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
tornado,Physics,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
backpack,Others,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
csafe_heptane,Physics,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
lobster,Biology,Atomic operation; Object identification; Volume Representation; Color Mapping,Scalar Fields
