Case Name,Application,Data,Task Level 1: Complexity Level,Task Level 2: Visualization Operations,Action Count
Loading a CIF file,Chemistry,Multivariate,Operation,Dataset Restructuring,N/A
Basic visualization - Van der Waals representation,Chemistry,Multivariate,Operation,Glyph & Marker Placement,N/A
Licorice representation,Chemistry,Multivariate,Operation,Surface & Contour Extraction,N/A
Coloring by element,Chemistry,Multivariate,Operation,Color & Opacity Mapping,N/A
Coloring by chain,Chemistry,Multivariate,Operation,Color & Opacity Mapping,N/A
Coloring by residue type,Chemistry,Multivariate,Operation,Color & Opacity Mapping,N/A
Selecting and coloring specific residues,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Selecting specific atoms,Chemistry,Multivariate,Operation,Data Subsetting & Extraction,N/A
Multiple representations,Chemistry,Multivariate,Operation,Surface & Contour Extraction; Glyph & Marker Placement,N/A
Material properties - Opaque,Chemistry,Multivariate,Operation,Color & Opacity Mapping,N/A
Changing representation radius,Chemistry,Multivariate,Operation,Geometric & Topological Transformation,N/A
Coloring by B-factor (temperature factor),Chemistry,Multivariate,Operation,Color & Opacity Mapping,N/A
Selecting water molecules,Chemistry,Multivariate,Operation,Data Subsetting & Extraction,N/A
Coloring by charge,Chemistry,Multivariate,Operation,Color & Opacity Mapping,N/A
Coloring by hydrophobicity,Chemistry,Multivariate,Operation,Color & Opacity Mapping,N/A
Selecting and highlighting active site,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping,N/A
Selecting protein vs non-protein,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Changing background color,Chemistry,Multivariate,Operation,View & Camera Control,N/A
Selecting specific atom types in a range,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Selecting atoms within distance,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping,N/A
Selecting and hiding specific residues,Chemistry,Multivariate,Operation,Data Subsetting & Extraction,N/A
Selecting and showing only specific atoms,Chemistry,Multivariate,Operation,Data Subsetting & Extraction,N/A
Selecting and showing only backbone,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Surface & Contour Extraction,N/A
Selecting and showing only side chains,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Glyph & Marker Placement,N/A
Selecting aromatic residues,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Selecting charged residues,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Multiple selections with different representations,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Surface & Contour Extraction; Glyph & Marker Placement; Color & Opacity Mapping,N/A
Selecting and coloring by atom selection - backbone with sidechain by element,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Surface & Contour Extraction; Glyph & Marker Placement; Color & Opacity Mapping,N/A
Selecting and coloring by distance from specific atom,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping,N/A
Coloring by atom selection with multiple criteria,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Selecting and coloring by atom property,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Coloring by residue number,Chemistry,Multivariate,Operation,Color & Opacity Mapping,N/A
Selecting and coloring by atom type in specific region,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Selecting and coloring by atom selection - element and residue combination,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Selecting and coloring by atom selection - distance-based with element filter,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping,N/A
Selecting and coloring by atom selection - backbone with sidechain by element,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Surface & Contour Extraction; Color & Opacity Mapping,N/A
Selecting and coloring by atom selection - complex distance and element,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping,N/A
Selecting and coloring by atom selection - multiple criteria,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
Selecting and coloring by atom selection - complex multi-criteria,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping,N/A
Selecting and showing only CA atoms,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Data Sampling & Resolution Control,N/A
Selecting and showing only heteroatoms,Chemistry,Multivariate,Operation,Data Subsetting & Extraction,N/A
Selecting and coloring by atom selection - multiple element types,Chemistry,Multivariate,Operation,Data Subsetting & Extraction; Color & Opacity Mapping,N/A
1CRN - Load & Basic Representations,Chemistry,Multivariate,Task,Dataset Restructuring; Glyph & Marker Placement; Surface & Contour Extraction,3
1CRN - Color by Properties,Chemistry,Multivariate,Task,Color & Opacity Mapping,3
1CRN - Region Selection,Chemistry,Multivariate,Task,Data Subsetting & Extraction; Color & Opacity Mapping,2
1CRN - Multi-Representation,Chemistry,Multivariate,Task,Surface & Contour Extraction; Glyph & Marker Placement; Color & Opacity Mapping,3
1CRN - Advanced Coloring,Chemistry,Multivariate,Task,Color & Opacity Mapping; Data Subsetting & Extraction,4
1CRN - Active Site Selection,Chemistry,Multivariate,Task,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping; View & Camera Control,3
1CRN - Spatial Queries,Chemistry,Multivariate,Task,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping,2
1CRN - Visibility Control,Chemistry,Multivariate,Task,Data Subsetting & Extraction,4
1CRN - Residue Selection,Chemistry,Multivariate,Task,Data Subsetting & Extraction; Color & Opacity Mapping,2
1CRN - Combined Representations,Chemistry,Multivariate,Task,Data Subsetting & Extraction; Surface & Contour Extraction; Glyph & Marker Placement; Color & Opacity Mapping,2
1CRN - Distance-based Selection,Chemistry,Multivariate,Task,Data Subsetting & Extraction; Field Computation; Color & Opacity Mapping,3
1CRN - Gradient Coloring,Chemistry,Multivariate,Task,Color & Opacity Mapping; Data Subsetting & Extraction,4
1CRN - Multi-Criteria Selection,Chemistry,Multivariate,Task,Data Subsetting & Extraction; Surface & Contour Extraction; Field Computation; Color & Opacity Mapping; Data Sampling & Resolution Control,7
curved-membrane,Chemistry; Biology,Multivariate,Workflow,Scientific Insight Derivation; Data Subsetting & Extraction; Color & Opacity Mapping; View & Camera Control; Glyph & Marker Placement,5
ras-raf-membrane,Chemistry; Biology,Multivariate,Workflow,Scientific Insight Derivation; Data Subsetting & Extraction; Color & Opacity Mapping; View & Camera Control; Glyph & Marker Placement,7
